question,answer,initial_reasoning,initial_answer,verification_response,final_answer,direct_answer,initial_correct,verified_correct,direct_correct,false_positive,false_negative
Is there a chair in the image?,no,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,False,False,False,True,False
Is there a chair in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a baseball glove in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a bowl in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a dining table in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a dining table in the image?,yes,No,No,VERIFICATION: CORRECT,No,Yes,False,False,True,False,True
Is there a baseball glove in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a knife in the image?,no,No,No,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,No,True,False,True,False,False
Is there a sports ball in the image?,yes,Yes,Yes,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,True,False,True,False,False
Is there a car in the image?,yes,No,No,VERIFICATION: CORRECT,No,No,False,False,False,False,True
Is there a cell phone in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a couch in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a chair in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a traffic light in the image?,yes,No,No,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,False,False,True,False,False
Is there a traffic light in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a spoon in the image?,yes,No,No,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,False,False,True,False,False
Is there a tv in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a snowboard in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a handbag in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a book in the image?,yes,No,No,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,False,False,True,False,False
Is there a dining table in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a potted plant in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a person in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a dining table in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a dining table in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a book in the image?,yes,Yes,Yes,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,True,False,True,False,False
Is there a laptop in the image?,yes,No,No,VERIFICATION: CORRECT,No,No,False,False,False,False,True
Is there a chair in the image?,no,No,No,VERIFICATION: CORRECT,No,No,True,True,True,False,False
Is there a backpack in the image?,yes,No,No,VERIFICATION: CORRECT,No,Yes,False,False,True,False,True
Is there a dining table in the image?,no,No,No,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,True,False,False,False,False
Is there a truck in the image?,yes,Yes,Yes,VERIFICATION: INCORRECT,VERIFICATION: INCORRECT,Yes,True,False,True,False,False
Is there a person in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
Is there a bowl in the image?,yes,Yes,Yes,VERIFICATION: CORRECT,Yes,Yes,True,True,True,False,False
